BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Chabner1992","Chabner, Bruce A.; Friedman, Michael A.","Progress against Rare and Not-So-Rare Cancers","New England Journal of Medicine",326,8,"feb","563--565",1992,"","","","","","","","","Massachusetts Medical Society","","","","","","","","","","",""
7,"","eurocare_1995","","Survival of cancer patients in europe","Cancer Causes & Control",6,5,"Sep","469–470",1995,"","","https://doi.org/10.1007/BF00052188","","","","","","","","","","","","","","","","",""
7,"","Wilson_1997","Wilson, L.","PP70. The costs of pancreatic cancer: Methodology of costing rare cancers","European Journal of Cancer",33,,"Nov","S40",1997,"","","https://linkinghub.elsevier.com/retrieve/pii/S0959804997859837","","","","","","","","","","","","","","","","",""
7,"","Calhoun_1998","Calhoun, Roberta D.","Practice Guidelines for Patients with Rare Cancers","Cancer Practice",6,4,"Jul","247–250",1998,"","","http://doi.wiley.com/10.1046/j.1523-5394.1998.006004247.x","","","","","","","","","","","","","","","","",""
7,"","Golub_1999","Golub, T. R.; Slonim, D. K.; Tamayo, P.; Huard, C.; Gaasenbeek, M.; Mesirov, J. P.; Coller, H.; Loh, M. L.; Downing, J. R.; Caligiuri, M. A.; Bloomfield, C. D.; Lander, E. S.","Molecular classification of cancer: class discovery and class prediction by gene expression monitoring","Science (New York, N.Y.)",286,5439,"Oct","531–537",1999,"","","","","","","","","","","","","","","","","","","",""
1,"9789283204053","oncoepi","dos Santos Silva, I.","Cancer Epidemiology: Principles and Methods","",,,"","",1999,"","","https://publications.iarc.fr/Non-Series-Publications/Other-Non-Series-Publications/Cancer-Epidemiology-Principles-And-Methods-1999","","","","","","","","","","","","","","","","",""
7,"","Brada_2000","Brada, M.","Rare Cancers (Reply to Dr B. Jones)","Clinical Oncology",12,4,"Aug","233",2000,"","","https://linkinghub.elsevier.com/retrieve/pii/S0936655500991611","","","","","","","","","","","","","","","","",""
10,"","eu_141_2000","","European Parlament and the Council of Eropean union regulation 141/2000","",,,"","",2000,"","","","","","","","","","","","","","","","","","","",""
7,"","Jones_2000","Jones, B.","Rare Cancers: How Should We Organize Expertise?","Clinical Oncology",12,4,"Aug","231–232",2000,"","","https://linkinghub.elsevier.com/retrieve/pii/S093665550099160X","","","","","","","","","","","","","","","","",""
7,"","Reider_2000","Reider, Carson R.","The Orphan Drug Act: Provisions and Considerations","Drug Information Journal",34,1,"Jan","295–300",2000,"","","http://link.springer.com/10.1177/009286150003400137","","","","","","","","","","","","","","","","",""
7,"","L.Kaerlev2001","L. Kaerlev P. Stubbe Teglbjaerg, S.","Medical Risk Factors for Small-Bowel Adenocarcinoma with Focus on Crohn Disease: A European Population-based Case-Control Study","Scandinavian Journal of Gastroenterology",36,6,"jan","641--646",2001,"","","","","","","","","Informa {UK} Limited","","","","","","","","","","",""
7,"","Ramazzini_2001","Ramazzini, Bernardino","De Morbis Artificum Diatriba [Diseases of Workers]","American Journal of Public Health",91,9,"Sep","1380–1382",2001,"","","https://ajph.aphapublications.org/doi/full/10.2105/AJPH.91.9.1380","","","","","","","","","","","","","","","","",""
7,"","the_lancet_oncology_very_2001","Oncology, The Lancet","Very rare cancers — a problem neglected","The Lancet Oncology",2,4,"April","189",2001,"","","https://linkinghub.elsevier.com/retrieve/pii/S1470204500002734","","","","","","","","","","","","","","","","",""
7,"","capocaccia2002measuring","Capocaccia, R.; Colonna, M.; Corazziari, I.; Angelis, R.; Francisci, S.; Micheli, A.; Mugno, E.; Group, E. U. R. O. P. R. E. V. A. L. Working","Measuring cancer prevalence in Europe: the EUROPREVAL project","Ann Oncol",,,"June","",2002,"","PMID: 12123329.","","","","","","","","","","","","","","","","","",""
7,"","Kaerlev2002","Kaerlev, Linda; Teglbjaerg, Peter Stubbe; Sabroe, Svend; Kolstad, Henrik A.; Ahrens, Wolfgang; Eriksson, Mikael; Gu??nel, Pascal; Hardell, Lennart; Cyr, Diane; Ballard, Terri; Zambon, Paola; Su??rez-Varela, Mar??a M. Morales; Stang, Andreas; Olsen, Jorn","Occupational Risk Factors for Small Bowel Carcinoid Tumor: A European Population-Based Case-Control Study","Journal of Occupational and Environmental Medicine",44,6,"jun","516--522",2002,"","","","","","","","","Ovid Technologies (Wolters Kluwer Health)","","","","","","","","","","",""
7,"","Tan_Dear_Bruzzi_Machin_2003","Tan, Say-Beng; Dear, Keith B. G.; Bruzzi, Paolo; Machin, David","Strategy for randomised clinical trials in rare cancers","BMJ : British Medical Journal",327,7405,"Jul","47–49",2003,"","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1126386/","","","","","","","","","","","","","","","","",""
7,"","Tan2003","Tan, S.-B.","Strategy for randomised clinical trials in rare cancers","{BMJ}",327,7405,"jul","47--49",2003,"","","","","","","","","{BMJ}","","","","","","","","","","",""
7,"","balcerska2004rare","Balcerska, Anna; Godzi{\'n}ski, Jan; Bie{\'n}, Ewa; Stachowicz-Stencel, Teresa; Sulka, Wojciech; Rapa{\l}a, Ma{\l}gorzata; Izycka-Swieszewska, Ewa; Perek-Polnik, Marta; Drogosiewicz, Monika; Perek, Danuta; others","Rare tumours--are they really rare in the Polish children population?","Przeglad lekarski",61,,"","57--61",2004,"","","https://ruj.uj.edu.pl/xmlui/bitstream/handle/item/272875/klekawka_balwierz_et-al_nowotwory_rzadkie_czy_rzeczywiscie_rzadkie_w_populacji_polskich_dzieci_2004.pdf?sequence=1&isAllowed=y","","","","","","","","","","","","","","","","",""
7,"","Guenel2004","Gu{\'{e}}nel, Pascal; Cyr, Diane; Sabroe, Svend; Lynge, Elsebeth; Merletti, Franco; Ahrens, Wolfgang; Baumgardt-Elms, Cornelia; M{\'{e}}n{\'{e}}goz, Fran{\c{c}}ois; Olsson, H{\aa}kan; Paulsen, Stein; Simonato, Lorenzo; Wingren, Gun","Alcohol Drinking May Increase Risk of Breast Cancer in Men: A European Population-Based Case\textendashControl Study","Cancer Causes {\&}amp$\mathsemicolon$ Control",15,6,"aug","571--580",2004,"","","","","","","","","Springer Science and Business Media {LLC}","","","","","","","","","","",""
7,"","mariaoccu2004","Suárez-Varela, Maria M. Morales; Olsen, Jorn; Johansen, Preben; Kaerlev, Linda; Guénel, Pascal; Arveux, Patrick; Wingren, Gun; Hardell, Lennart; Ahrens, Wolfgang; Stang, Andreas; Llopis, Agustin; Merletti, Franco; Aurrekoetxea, Juan Jose; Masala, Giovanna","Occupational Risk Factors for Mycosis Fungoides: A European Multicenter Case-Control Study","Journal of Occupational and Environmental Medicine",46,3,"","205--211",2004,"","","http://www.jstor.org/stable/44996559","","","","","","Lippincott Williams & Wilkins","","","","","","","Mycosis fungoides (MF) is a rare disease with an unknown etiology. Its distribution suggests that occupational exposures may play a role. In the present study, we searched for occupational factors associated with MF. A European multicenter case-control study on seven rare cancers, including MF, was conducted from 1995 to 1997. Patients between 35 and 69 years of age diagnosed with MF (n = 134) were identified and their diagnoses were checked by a reference pathologist who classified 83 cases as definitive, 35 cases as possible, and 16 cases as not histologically verified Of the 118 histologically verified cases, 104 were interviewed, of which 76 were definitive cases. As controls, we selected population controls and colon cancer controls to serve all seven case groups. Altogether, 833 colon cancer controls and 2071 population controls were interviewed. The response rate was 91.5% for cases (76 of the 83 definitive cases), and 66.6% for controls. A high risk of MF for men was observed in the industries of other non-metallic mineral products (Odds Ratio [OR] 5.3, 95% confidence interval [CI] = 1.7-16.2) and of wholesale trade (OR 3.6, 95% CI = 1.3-10.5). A high risk was found for female employees in the sector of pulp paper manufacture (OR 14.4, 95% CI = 2.2-95.1). The male occupations with the highest risks were glass formers, potters, and ceramics workers (OR 17.9, 95% CI = 5.4-59.4) and technical salesmen (OR 8.6, 95% CI = 2.4-30.8). For women, the occupations associated with the highest risks were government executives (OR 4.8, 95% CI = 1.0-22.6) and railway and road vehicles loaders (OR 3.9, 95% CI = 1.0-14.0). The results suggest that some occupational factors are associated with MF. Working as glass formers, pottery, and ceramics workers carried the highest risk, and these findings deserve further attention and replication. Females working in the paper and pulp industries may also be exposed to carcinogens of relevance to MF.","","","",""
7,"","Acharya2005","Acharya, Sheetal; Hensley, Martee L.; Montag, Anthony C.; Fleming, Gini F.","Rare uterine cancers","The Lancet Oncology",6,12,"dec","961--971",2005,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Lancaster2005","Lancaster, C.; Kokoris, M.; Nabavi, M.; Clemmens, J.; Maloney, P.; Capadanno, J.; Gerdes, J.; Battrell, C. F.","Rare cancer cell analyzer for whole blood applications: Microcytometer cell counting and sorting subcircuits","Methods",37,1,"sep","120--127",2005,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Lynge2005","Lynge, Elsebeth; Afonso, Noemia; Kaerlev, Linda; Olsen, J{\o}rn; Sabroe, Svend; Ahrens, Wolfgang; Eriksson, Mikael; Gu{\'{e}}nel, Pascal; Merletti, Franco; Stengrevics, Aivars; Suarez-Varela, Maria; Costa-Pererra, Altamiro; Vyberg, Mogens","European multi-centre case\textendashcontrol study on risk factors for rare cancers of unknown aetiology","European Journal of Cancer",41,4,"mar","601--612",2005,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Sledge2005","Sledge, George W.","What Is Targeted Therapy?","Journal of Clinical Oncology",23,8,"mar","1614--1615",2005,"","","","","","","","","American Society of Clinical Oncology ({ASCO})","","","","","","","","","","",""
7,"","Thatcher2005","Thatcher, Nick; Chang, Alex; Parikh, Purvish; Pereira, Jos{\'{e}} Rodrigues; Ciuleanu, Tudor; von Pawel, Joachim; Thongprasert, Sumitra; Tan, Eng Huat; Pemberton, Kristine; Archer, Venice; Carroll, Kevin","Gefitinib plus best supportive care in previously treated patients with refractory advanced non-small-cell lung cancer: results from a randomised, placebo-controlled, multicentre study (Iressa Survival Evaluation in Lung Cancer)","The Lancet",366,9496,"oct","1527--1537",2005,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Belkacémi_2006","Belkacémi, Y.; Zouhair, A.; Ozsahin, M.; Azria, D.; Mirimanoff, R.-O.","Facteurs pronostiques et prise en charge des tumeurs rares","Cancer/Radiothérapie",10,6–7,"Nov","323–329",2006,"","","https://linkinghub.elsevier.com/retrieve/pii/S1278321806001090","","","","","","","","","","","","","","","","",""
7,"","Gatta2006","Gatta, Gemma; Ciccolallo, Laura; Kunkler, Ian; Capocaccia, Riccardo; Berrino, Franco; Coleman, Michel P.; Angelis, Roberta De; Faivre, Jean; Lutz, Jean Michel; Martinez, Carmen; Möller, Torgil; Sankila, Risto","Survival from rare cancer in adults: a population-based study","The Lancet Oncology",7,2,"feb","132--140",2006,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Maule_2006","Maule, Milena; Merletti, Franco; Mirabelli, Dario; La Vecchia, Carlo","Spatial variation of mortality for common and rare cancers in Piedmont, Italy, from 1980 to 2000: a Bayesian approach","European Journal of Cancer Prevention",15,2,"Apr","108–116",2006,"","","https://journals.lww.com/00008469-200604000-00003","","","","","","","","","","","","","A Bayesian hierarchical model was used to study the spatial variation in mortality risk from lung and pleural cancer in both sexes, and breast and soft tissue sarcoma (STS) in women in Piedmont (north-west Italy, average population 4 349 411) from 1980 to 2000. Of these four neoplasms, two are common (lung and breast) and two rare (pleura and STS); two have well recognized risk factors (lung and pleura) while the other two (breast and STS) have no single strong risk factor. Data were analysed at a small-area level (1206 municipalities, population 39 to 989 663), using both standardized mortality ratios and Bayesian-estimated mortality risks. The Bayesian model allowed for both heterogeneity (through spatially independent random effects) and clustering (through spatially correlated random effects) and, by borrowing information from neighbouring areas, provided stable estimates for areas with sparse data. The aim was to reduce the noise in the disease maps to highlight the true underlying mortality distribution. Lung cancer in men showed strong spatial structure with a marked east-west gradient, but no appreciable urban-rural differences. In contrast, high mortality areas for female lung cancer were observed around conurbations. Female breast cancer and STS appeared to be spread uniformly across the region. Pleural cancer mortality clusters were evident around areas with major asbestos manufacturers, or natural asbestiform fibre pollution. Maps of Bayesian-estimated mortality risk provided appreciably clearer pictures of risk distribution than did maps of the standardized mortality ratio.","","","",""
7,"","PritchardJones2006","Pritchard-Jones, K.; Kaatsch, P.; Steliarova-Foucher, E.; Stiller, C. A.; Coebergh, J. W. W.","Cancer in children and adolescents in Europe: Developments over 20 years and future challenges","European Journal of Cancer",42,13,"sep","2183--2190",2006,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Braiteh2007","Braiteh, Fadi; Kurzrock, Razelle","Uncommon tumors and exceptional therapies: paradox or paradigm?","Molecular Cancer Therapeutics",6,4,"apr","1175--1179",2007,"","","","","","","","","American Association for Cancer Research ({AACR})","","","","","","","","","","",""
7,"","Ferrari2007","Ferrari, Andrea; Bisogno, Gianni; Salvo, Gian Luca De; Indolfi, Paolo; Perilongo, Giorgio; Cecchetto, Giovanni","The challenge of very rare tumours in childhood: The Italian TREP project","European Journal of Cancer",43,4,"mar","654--659",2007,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Griffiths2007","Griffiths, Jane; Willard, Carole; Burgess, Andrea; Amir, Ziv; Luker, Karen","Meeting the ongoing needs of survivors of rarer cancer","European Journal of Oncology Nursing",11,5,"dec","434--441",2007,"","","https://linkinghub.elsevier.com/retrieve/pii/S1462388907001275","","","","","","Elsevier {BV}","","","","","","","With more treatment options for people with cancer long-term survivorship is increasing. Physical and psycho-social needs have been identified in survivors of common cancers but very little has been written about the needs of patients with rarer cancers. Patients treated for rarer cancer are discharged to the primary health care team (PHCT), yet little is known about the assessment, management and support of these patients. Thirty-nine semi-structured interviews were conducted with (1) survivors of and (2) people living with rarer cancer (i.e. o5% of cancer burden). Participants were asked about physical and psycho-social needs and service provision. Data were analysed thematically using Atlas ti. Contrary to expectation, disease-free survivors of rarer cancer were indistinguishable from those living with disease in their ability to cope, and range of symptoms and needs. Participants with a clinical nurse specialist (CNS) reported that they were well supported on their return home and their needs were met. Participants without a CNS were referred to the PHCT who were unsure how to assess or support them. These participants felt abandoned. There is a need for the rehabilitation of patients with rarer cancer to strengthen individual coping mechanisms, and family and social support. Although there are resource and training implications, this is a potential role for the PHCT, district nursing in particular, and may lead to more focused and targeted provision of services.","","","",""
10,"","RARECARE98","Executive Agency for Health and Consumers (EAHC) of the European Commission","RARECARE - Surveillance of Rare Cancers in Europe","",,,"","",2007,"","(Accessed on 11/27/2022)","https://rarecare.eu","","","","","","","","","","","","","","","","",""
7,"","Marty2008","Marty, M.; Rheims, N.","Cancers rares : des entit\'es diff\'erentes, des probl\'ematiques communes","Oncologie",10,6,"jun","360--362",2008,"","","","","","","","","Computers, Materials and Continua (Tech Science Press)","","","","","","","","","","",""
7,"","berrino2009comparative","Berrino, Franco; Verdecchia, Arduino; Lutz, Jean Michel; Lombardo, Claudio; Micheli, Andrea; Capocaccia, Riccardo","Comparative cancer survival information in Europe","European Journal of Cancer",45,6,"","901--908",2009,"","","https://www.nicer.org/assets/files/p_Comparative_cancer_survival_information_in_Europe.pdf","","","","","","Elsevier","","","","","","","","","","",""
7,"","de2009eurocare","De Angelis, Roberta; Francisci, Silvia; Baili, Paolo; Marchesi, Francesca; Roazzi, Paolo; Belot, Aur{\'e}lien; Crocetti, Emanuele; Pury, Pierre; Knijn, Arnold; Coleman, Michel; others","The EUROCARE-4 database on cancer survival in Europe: data standardisation, quality control and methods of statistical analysis","European Journal of Cancer",45,6,"apr","909--930",2009,"","","","","","","","","Elsevier","","","","","","","","","","",""
7,"","Griggs2009","Griggs, Robert C.; Batshaw, Mark; Dunkle, Mary; Gopal-Srivastava, Rashmi; Kaye, Edward; Krischer, Jeffrey; Nguyen, Tan; Paulus, Kathleen; Merkel, Peter A.","Clinical research for rare disease: Opportunities, challenges, and solutions","Molecular Genetics and Metabolism",96,1,"jan","20--26",2009,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Jackson_2009","Jackson, Terri J.; Michel, Jude L.; Roberts, Rosemary; Shepheard, Jennie; Cheng, Diana; Rust, Julie; Perry, Catherine","Development of a validation algorithm for “present on admission” flagging","BMC Medical Informatics and Decision Making",9,1,"Dec","48",2009,"","","https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/1472-6947-9-48","","","","","","","","","","","","","","","","",""
5,"","Kanitakis2009","Kanitakis, Jean","Rare Skin Cancers","",,,"","323--328",2009,"","","","Skin Cancer after Organ Transplantation","","","","","Springer {US}","","","","","","","","","","",""
7,"","Pierotti2009","Pierotti, Marco A.; Negri, Tiziana; Tamborini, Elena; Perrone, Federica; Pricl, Sabrina; Pilotti, Silvana","Targeted Therapies: The Rare Cancer Paradigm","Molecular Oncology",4,1,"oct","19--37",2009,"","","","","","","","","Wiley","","","","","","","","","","",""
10,"","rare_europe_2009","","Rare Cancers Europe","RCE",,,"Jun","",2009,"","(Accessed on 11/23/2022)","https://www.rarecancerseurope.org/","","","","","","","","","","","","","","","","",""
7,"","brennan2010pediatric","Brennan, Bernadette","Pediatric pancreatic tumors: the orphan looking for a home","Pediatric blood \& cancer",5,54,"","659--660",2010,"","","https://ar.art1lib.org/book/5391789/67ae7b","","","","","","","","","","","","","","","","",""
7,"","Casali2010","Casali, Paolo G.","Do rare cancers deserve specific strategies for cancer research?","The Lancet Oncology",11,6,"jun","506--507",2010,"","","https://linkinghub.elsevier.com/retrieve/pii/S1470204510700991","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Choi2010","Choi, Young Lim; Soda, Manabu; Yamashita, Yoshihiro; Ueno, Toshihide; Takashima, Junpei; Nakajima, Takahiro; Yatabe, Yasushi; Takeuchi, Kengo; Hamada, Toru; Haruta, Hidenori; Ishikawa, Yuichi; Kimura, Hideki; Mitsudomi, Tetsuya; Tanio, Yoshiro; Mano, Hiroyuki","EML4-ALK Mutations in Lung Cancer That Confer Resistance to ALK Inhibitors","New England Journal of Medicine",363,18,"oct","1734--1739",2010,"","","","","","","","","Massachusetts Medical Society","","","","","","","","","","",""
7,"","Ellis2010","Ellis, Libby; Fox, Jesme; Peake, Michael D.; Coleman, Michel P.","Lung cancer in young women remains rare","Lung Cancer",67,1,"jan","124--125",2010,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Eng_2010","Eng, Charis","Mendelian genetics of rare-and not so rare-cancers: Mendelian heritable cancer syndromes","Annals of the New York Academy of Sciences",1214,1,"Dec","70–82",2010,"","","https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2010.05789.x","","","","","","","","","","","","","","","","",""
10,"","ESMORare82:online","ESMO","Improving Rare Cancer Care in Europe Recommendations on Stakeholder Actions and Public Policies","",,,"","",2010,"","","https://www.esmo.org/content/download/16802/296577/1/ESMO_Rare_Cancers_recommendations_2010.pdf","","","","","","European society for medical oncology","","","","","","","","","","",""
7,"","gatta2010burden","Gatta, Gemma; Capocaccia, Riccardo; Trama, Annalisa; Mart{\'\i}nez-Garc{\'\i}a, Carmen","The burden of rare cancers in Europe","Rare Diseases Epidemiology",,,"","285--303",2010,"","","","Rare Diseases Epidemiology","","","","","Springer Netherlands","","","","","","","","","","",""
7,"","Grant2010","Grant, W. B.","Re: "Overview of the Cohort Consortium Vitamin D Pooling Project of Rarer Cancers"","American Journal of Epidemiology",172,10,"sep","1210--1211",2010,"","","","","","","","","Oxford University Press ({OUP})","","","","","","","","","","",""
7,"","greenlee_occurrence_2010","Greenlee, Robert T.; Goodman, Marc T.; Lynch, Charles F.; Platz, Charles E.; Havener, Lori A.; Howe, Holly L.","The Occurrence of Rare Cancers in U.S. Adults, 1995–2004","Public Health Reports",125,1,"January","28--43",2010,"","","http://journals.sagepub.com/doi/10.1177/003335491012500106","","","","","","","","","","","","","Objective. Rare cancers have been traditionally understudied, reducing the progress of research and hindering decisions for patients, physicians, and policy makers. We evaluated the descriptive epidemiology of rare cancers using a large, representative, population-based dataset from cancer registries in the United States.   Methods. We analyzed more than 9 million adult cancers diagnosed from 1995 to 2004 in 39 states and two metropolitan areas using the Cancer in North America ({CINA}) dataset, which covers approximately 80\% of the U.S. population. We applied an accepted cancer classification scheme and a published definition of rare (i.e., fewer than 15 cases per 100,000 per year). We calculated age-adjusted incidence rates and rare/non-rare incidence rate ratios using {SEER}*Stat software, with analyses stratified by gender, age, race/ethnicity, and histology.   Results. Sixty of 71 cancer types were rare, accounting for 25\% of all adult tumors. Rare cancers occurred with greater relative frequency among those who were younger, nonwhite, and of Hispanic ethnicity than among their older, white, or non-Hispanic counterparts.   Conclusions. Collectively, rare tumors account for a sizable portion of adult cancers, and disproportionately affect some demographic groups. Maturing population-based cancer surveillance data can be an important source for research on rare cancers, potentially leading to a greater understanding of these cancers and eventually to improved treatment, control, and prevention.","","","greenlee_occurrence_2010 - The Occurrence of Rare Cancers in U.S. Adults, 1995–2004.pdf",""
7,"","Kole2010","Kole, Anna A.; le Cam, Yann","The added value of centres of expertise for rare disease patients in Europe","Orphanet Journal of Rare Diseases",5,S1,"oct","",2010,"","","","","","","","","Springer Science and Business Media {LLC}","","","","","","","","","","",""
7,"","Lacour2010","Lacour, Brigitte; Guyot-Goubin, Aur{\'{e}}lie; Guissou, Sandra; Bellec, St{\'{e}}phanie; D{\'{e}}sandes, Emmanuel; Clavel, Jacqueline","Incidence of childhood cancer in France: National Children Cancer Registries, 2000\textendash2004","European Journal of Cancer Prevention",19,3,"may","173--181",2010,"","","","","","","","","Ovid Technologies (Wolters Kluwer Health)","","","","","","","","","","",""
7,"","Maughan_2010","Maughan, Karen L.; Lutterbie, Mark A.; Ham, Peter S.","Treatment of Breast Cancer","American Family Physician",81,11,"Jun","1339–1346",2010,"","","https://www.aafp.org/pubs/afp/issues/2010/0601/p1339.html","","","","","","","","","","","","","","","","",""
7,"","Miller_2010","Miller, Robert C.","Problems in rare tumor study: a call for papers","Rare Tumors",2,1,"Mar","46–47",2010,"","","http://journals.sagepub.com/doi/10.4081/rt.2010.e16","","","","","","","","","","","","","","","","",""
1,"","mrare_2010","","Management of Rare Adult Tumours","",,,"","",2010,"","","https://doi.org/10.1007%2F978-2-287-92246-6","","","","","Belkac{\'{e}}mi, Yazid; Mirimanoff, Ren{\'{e}}-Olivier; Ozsahin, Mahmut","Springer Paris","","","","","","","","","","",""
1,"978-3-319-67144-4","RareDisEpi","Posada, Manuel; Taruscio, Domenica; Groft, Stephen","Rare Diseases Epidemiology: Update and Overview | SpringerLink","",,,"","",2010,"","","https://link.springer.com/book/10.1007/978-3-319-67144-4","","","","Advances in Experimental Medicine and Biology 686","","Springer Netherlands","","","","","","","Rare Diseases Epidemiology' offers numerous approaches to increase the knowledge base of rare diseases and conditions and to facilitate the development and dissemination of interventions for the prevention, diagnosis, or treatment of over 6500 diseases and conditions. The goals of epidemiology are not restricted merely to providing numerical data on the prevalence or incidence of diseases in a limited or general population. Analyses of epidemiological data gathered from appropriately designed and conducted studies are required to establish public health policies and priorities in all nations. Information gained from these studies lead to a better understanding of the etiology and the impact of genetic or environmental factors on the occurrence and outcome of these disorders. The term Rare Diseases includes both acquired and inherited disorders. 'Rare Diseases Epidemiology' provides methods and approaches from the collective experiences of established research investigators who address these significant issues of the development of patient registries; the collection, storage and selected distribution of bio-specimens from bio-banking activities; the validation and utilization of genetic testing and newborn screening procedures; the presentation of issues related to the importance of case reports to increase knowledge of rare diseases; the challenges and models for population-based surveillance studies for rare congenital and inherited disorders; the statistical methods for the geographical analyses of rare diseases; the value and need for clinical trials and comparative effective studies; and meeting the requirements of regulatory agencies. Economic, societal, and ethical concerns are presented as patients and families encounter difficulties obtaining the correct diagnosis, gaining access to treatments, and receiving coverage or reimbursement for approved interventions, and for developing a public understanding of the costs to patients and their families and the burden of illness affecting the quality of life of millions of patients with rare diseases and conditions. Framework programs for rare diseases research as developed by the European Union and the value of national plans for individual member countries are discussed and represent the public commitment to patients with rare diseases. Likewise, similar programs have been implemented in the USA as a result of the Orphan Drug Act to address the needs of the rare diseases community.","","","",""
7,"","Reguerre2010","R{\'{e}}guerre, Y.; Lacour, B.; Andr{\'{e}}, N.; Claude, L.; Hameury, F.; Lavrand, F.; Kalfa, N.; Peuchmaur, M.; Orbach, D.","Tumeurs rares en p\'ediatrie : particularit\'es \'epid\'emiologiques et organisation de leur prise en charge dans le cadre de la Soci\'et\'e fran\ccaise des cancers et des leuc\'emies de l\textquotesingleenfant et de l\textquotesingleadolescent (SFCE)","Bulletin du Cancer",97,9,"sep","1041--1045",2010,"","","","","","","","","Elsevier {BV}","","","","","","","","","","",""
7,"","Schneider2010","Schneider, D. T.; Brecht, I. B.","Care for Rare Cancers: Improved Care Requires Improved Communication","Klinische Pädiatrie",222,03,"may","124--126",2010,"","","","","","","","","Georg Thieme Verlag {KG}","","","","","","","","","","",""
